id,latitude,longitude,price,minimum_nights,,,,,,,,
318867,51.51233,-0.16783,140,7,,,,,,,,
318986,51.49273,-0.19404,200,7,,,,,,,,
320629,51.53918,-0.14702,99,2,,,,,,,,
321411,51.49709,-0.2032,58,4,,,,,,,,
322323,51.44338,0.08362,30,1,,,,,,,,
322549,51.54983,-0.31739,30,1,,,,,,,,
322550,51.54835,0.31752,50,1,,,,,,,,
322606,51.46811,-0.17134,48,2,,,,,,,,
322637,51.52713,-0.05994,89,2,,,,,,,,
323203,51.57501,0.12202,75,2,,,,,,,,
323473,51.5402,-0.09663,79,5,,,,,,,,
323571,51.5506,-0.07698,75,7,,,,,,,,
324055,51.55317,0.02328,29,150,,,,,,,,
324714,51.45465,-0.19836,65,3,,,,,,,,
325305,51.52935,0.0092,35,2,,,,,,,,
325673,51.54368,-0.17332,40,1,,,,,,,,
325809,51.54999,-0.18455,761,14,,,,,,,,
325942,51.49918,-0.21279,87,2,,,,,,,,
326146,51.56931,-0.02936,120,7,,,,,,,,
326314,51.48864,-0.11714,140,14,,,,,,,,
326633,51.47634,-0.15068,60,2,,,,,,,,
326655,51.46276,-0.11724,125,3,,,,,,,,
327026,51.48919,0.07161,25,1,,,,,,,,
327743,51.4612,-0.17298,150,6,,,,,,,,
328189,51.47296,0.0694,45,1,,,,,,,,
329109,51.50451,-0.29203,20,4,,,,,,,,
329496,51.55206,-0.05641,220,4,,,,,,,,
329585,51.46903,-0.12875,138,3,,,,,,,,
329610,51.56394,-0.01025,100,1,,,,,,,,
330032,51.48858,-0.26231,45,2,,,,,,,,
330044,51.48406,-0.26182,32,2,,,,,,,,
330333,51.54374,-0.13595,80,1,,,,,,,,
330783,51.45573,-0.05166,45,5,,,,,,,,
330932,51.55235,-0.12384,99,5,,,,,,,,
331058,51.50144,-0.25678,60,1,,,,,,,,
333931,51.57291,0.14562,45,5,,,,,,,,
334310,51.45735,-0.01614,36,5,,,,,,,,
334412,51.52249,-0.10525,60,1,,,,,,,,
334546,51.52493,0.03679,25,1,,,,,,,,
334558,51.42997,0.12602,145,2,,,,,,,,
335833,51.51457,-0.19312,89,6,,,,,,,,
335867,51.53258,-0.01141,200,21,,,,,,,,
336577,51.53131,-0.08034,100,1,,,,,,,,
337806,51.55163,-0.0745,65,1,,,,,,,,
337986,51.54829,0.1611,20,2,,,,,,,,
338198,51.56285,-0.19551,150,2,,,,,,,,
338354,51.4686,-0.04931,31,2,,,,,,,,
338896,51.59635,-0.19098,28,3,,,,,,,,
